Данные из телефонного справочника в фаиле Phonebook.csv!

№,Фамилия,Имя,Номер телефона,Описание

1,Мартыненко,Аня,89204567832,Колега
2,Андропова,Катерина,89105467281,Замужем
3,Фоломеев,Андрей,89106452188,Друг

Данные из телефонного справочника в фаиле Phonebook.txt!

№ 1
Фамилия: Мартыненко
Имя: Аня
Номер телефона: 89204567832
Описание: Колега


№ 2
Фамилия: Андропова
Имя: Катерина
Номер телефона: 89105467281
Описание: Замужем


№ 3
Фамилия: Фоломеев
Имя: Андрей
Номер телефона: 89106452188
Описание: Друг


